,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13
0,2012-08-13,75.13,75.4,74.6,75.2,6294439,SLB,0.0,,,,,,,,,,,,,,,,,,,,,,,75.06666666666666,75.53333333333333,75.86666666666667,76.33333333333334,74.73333333333332,74.26666666666665,73.93333333333331,,,,,,,,,0.75,0.0,0.0,
1,2012-08-14,75.41,75.68,74.15,74.47,5864100,SLB,-0.0,,,,,,,,,,,,,,,,,,,-0.730000000000004,,,,74.76666666666667,75.38333333333333,76.29666666666665,76.91333333333333,73.85333333333332,73.23666666666666,72.32333333333332,,,,,,,,,0.20915032679738102,,,
2,2012-08-15,74.39,74.5,73.3,73.87,4853291,SLB,-0.0,,,,,,,,,,,1916726.8399999975,,,,,,,,-0.5999999999999943,,,,73.89,74.48,75.08999999999999,75.68,73.28,72.69,72.08,,,,,,,,,0.47500000000000503,,,
3,2012-08-16,74.02,75.11,73.56,74.98,5303473,SLB,0.0,,,,,,,,,74.60553846153847,,-285919.77000000287,,,,,,,,1.1099999999999994,,,,74.55000000000001,75.54000000000002,76.10000000000002,77.09000000000002,73.99000000000002,73.00000000000001,72.44000000000003,,,,,,,0.6430044275774842,,0.9161290322580673,,,
4,2012-08-17,75.13,75.24,74.53,74.78,5107321,SLB,-0.0,,,0.027691698532977576,0.5580421732866904,,,,,74.67251184834124,,231167.29999999914,,74.66000000000001,,,,,,-0.20000000000000284,,-2104247.8,,74.85,75.16999999999999,75.55999999999997,75.87999999999998,74.46,74.14,73.75,-0.005585106382978746,,0.48626704089815326,,0.5168655531180265,,0.5313350822068085,,0.3521126760563411,,,
5,2012-08-20,74.49,74.83,74.1,74.34,4984132,SLB,-0.0,,,0.022963861037508727,0.4134772146940419,,,,,74.55100751879701,,204378.2400000002,,74.48800000000003,,,,,,-0.4399999999999977,,-3101074.2,,74.42333333333333,74.74666666666667,75.15333333333334,75.47666666666667,74.01666666666667,73.69333333333333,73.28666666666666,-0.0017456693970725856,,0.3204486677698361,,0.42763302024048766,,0.45731400849651116,,0.3287671232876819,,,
6,2012-08-21,74.6,74.99,74.14,74.35,5131462,SLB,-0.0,,,0.023218648483410344,0.4340641585143384,,,,,74.47983972802332,,-10380.630000000165,,74.46400000000001,,,,,,0.009999999999990905,,-901961.8,,74.49333333333333,74.84666666666665,75.34333333333332,75.69666666666664,73.99666666666666,73.64333333333333,73.14666666666666,0.0064979017192363575,,0.4229542717421067,,0.43223836016716705,,0.38287203188601115,,0.24705882352940606,,,
7,2012-08-22,74.0,74.97,73.83,74.82,4720319,SLB,0.0,,,0.01563780260617123,0.6421933476287829,,,,,74.59783029341793,,-126630.2399999973,,74.65400000000001,,,,,,0.46999999999999886,,1012760.2,,74.54,75.25000000000001,75.67999999999999,76.39000000000001,74.11000000000001,73.4,72.97000000000001,-0.002133902373966535,,0.30014599442039425,,0.2918561289402768,,0.5512932386061611,,0.868421052631574,,,
8,2012-08-23,74.71,74.87,73.85,74.19,4871093,SLB,-0.0,,,0.01530330604568497,0.23158720863836676,,,,-190232.6392705949,74.4582562203328,,41659.03999999911,,74.49600000000001,,,,,,-0.6299999999999955,,-1022153.0,,74.30333333333333,74.75666666666666,75.32333333333335,75.77666666666667,73.73666666666665,73.28333333333332,72.71666666666664,-0.007889810109655034,,0.30014599442039425,,0.2850087717948369,,0.4766995847281671,,0.3333333333333333,,,
9,2012-08-24,74.0,74.75,73.72,74.59,3783693,SLB,0.0,,,0.013319264129401,0.6331013110543603,,,,712219.7798349593,74.50294579922448,,215423.9799999904,,74.45800000000001,,,,,,0.4000000000000057,,756049.8,,74.35333333333334,74.98666666666668,75.38333333333335,76.01666666666668,73.95666666666668,73.32333333333334,72.92666666666668,0.003362927091740651,,0.24231590383333176,,0.24793144213673493,,0.6015176575543162,,0.8446601941747608,,,
